"region","category","sub_category","segment","sales","profit","quantity","discount"
"South","Office Supplies","Binders","Corporate","2690.97","1264.7559",3,"0.0"
"South","Office Supplies","Binders","Corporate","7.434","-5.6994",6,"0.7"
"East","Office Supplies","Storage","Corporate","64.784","-12.9568",1,"0.2"
"Central","Office Supplies","Paper","Home Office","28.16","13.2352",4,"0.0"
"East","Furniture","Furnishings","Consumer","14.98","6.8908",1,"0.0"
"East","Furniture","Furnishings","Consumer","20.32","6.9088",4,"0.0"
"East","Office Supplies","Storage","Corporate","40.29","10.4754",3,"0.0"
"Central","Office Supplies","Labels","Consumer","20.23","9.5081",7,"0.0"
"West","Furniture","Chairs","Corporate","1603.136","100.196",4,"0.2"
"South","Furniture","Chairs","Consumer","225.296","22.5296",2,"0.2"
"South","Technology","Accessories","Consumer","67.8","4.068",4,"0.0"
"South","Technology","Phones","Consumer","377.97","98.2722",3,"0.0"
"South","Furniture","Bookcases","Consumer","1628.82","374.6286",9,"0.0"
"South","Office Supplies","Paper","Consumer","286.93","140.5957",7,"0.0"
"South","Office Supplies","Paper","Consumer","20.736","7.2576",4,"0.2"
"West","Office Supplies","Storage","Consumer","31.44","8.4888",3,"0.0"
"West","Office Supplies","Appliances","Consumer","83.79","22.6233",7,"0.0"
"West","Office Supplies","Art","Consumer","59.52","15.4752",3,"0.0"
"West","Office Supplies","Supplies","Consumer","31.92","9.2568",4,"0.0"
"East","Office Supplies","Supplies","Consumer","14.72","-3.312",5,"0.2"
"East","Office Supplies","Storage","Consumer","38.976","-2.436",3,"0.2"
"South","Furniture","Furnishings","Consumer","17.088","1.068",2,"0.2"
"West","Office Supplies","Paper","Corporate","74.352","23.235",3,"0.2"
"West","Furniture","Chairs","Corporate","314.352","-35.3646",3,"0.2"
"West","Office Supplies","Art","Consumer","4.26","1.7466",1,"0.0"
"West","Office Supplies","Storage","Consumer","811.28","24.3384",8,"0.0"
"East","Office Supplies","Fasteners","Consumer","6.03","2.9547",3,"0.0"
"West","Furniture","Chairs","Consumer","153.568","-5.7588",2,"0.2"
"West","Furniture","Chairs","Consumer","1013.488","76.0116",7,"0.2"
"East","Office Supplies","Envelopes","Home Office","52.34","24.5998",2,"0.0"
"East","Office Supplies","Art","Home Office","4.66","1.3514",2,"0.0"
"East","Technology","Accessories","Home Office","254.97","91.7892",3,"0.0"
"East","Office Supplies","Binders","Home Office","25.44","12.72",6,"0.0"
"East","Office Supplies","Supplies","Home Office","27.93","8.0997",3,"0.0"
"Central","Office Supplies","Binders","Consumer","8.85","-13.7175",5,"0.8"
"West","Furniture","Furnishings","Consumer","6.96","2.2272",4,"0.0"
"West","Office Supplies","Binders","Consumer","17.456","5.8914",2,"0.2"
"West","Furniture","Chairs","Consumer","307.92","-34.641",5,"0.2"
"West","Office Supplies","Art","Consumer","6.63","1.7901",3,"0.0"
"West","Office Supplies","Paper","Consumer","12.96","6.2208",2,"0.0"
"West","Office Supplies","Paper","Consumer","32.4","15.552",5,"0.0"
"West","Office Supplies","Paper","Corporate","23.85","10.7325",5,"0.0"
"South","Furniture","Chairs","Consumer","51.96","12.99",2,"0.0"
"South","Office Supplies","Binders","Consumer","17.94","8.6112",3,"0.0"
"East","Office Supplies","Paper","Corporate","11.56","5.6644",2,"0.0"
"East","Office Supplies","Paper","Corporate","26.4","11.88",5,"0.0"
"East","Furniture","Furnishings","Corporate","69.08","29.0136",11,"0.0"
"East","Technology","Phones","Corporate","35.88","10.0464",3,"0.0"
"East","Office Supplies","Art","Consumer","49.65","20.853",5,"0.0"
"South","Technology","Copiers","Corporate","959.968","119.996",4,"0.2"
"Central","Furniture","Chairs","Consumer","408.422","-5.8346",2,"0.3"
"East","Technology","Copiers","Consumer","479.984","59.998",2,"0.2"
"East","Office Supplies","Labels","Consumer","12.6","6.048",4,"0.0"
"South","Office Supplies","Paper","Home Office","184.66","84.9436",7,"0.0"
"Central","Office Supplies","Paper","Consumer","23.12","8.381",5,"0.2"
"Central","Office Supplies","Paper","Corporate","37.464","12.1758",7,"0.2"
"Central","Furniture","Chairs","Corporate","539.658","-7.7094",3,"0.3"
"West","Office Supplies","Storage","Home Office","310.12","80.6312",2,"0.0"
"Central","Office Supplies","Paper","Consumer","8.56","3.852",2,"0.0"
"Central","Office Supplies","Storage","Consumer","52.4","14.148",5,"0.0"
"Central","Office Supplies","Labels","Consumer","14.94","6.8724",3,"0.0"
"West","Office Supplies","Fasteners","Consumer","11.22","0.2244",3,"0.0"
"South","Office Supplies","Appliances","Consumer","387.136","24.196",4,"0.2"
"East","Office Supplies","Envelopes","Consumer","41.4","19.458",5,"0.0"
"East","Office Supplies","Art","Consumer","35.0","10.5",4,"0.0"
"East","Office Supplies","Binders","Consumer","39.552","14.3376",3,"0.2"
"Central","Technology","Phones","Consumer","135.72","35.2872",3,"0.0"
"Central","Office Supplies","Binders","Consumer","12.56","5.652",2,"0.0"
"Central","Technology","Phones","Consumer","263.96","71.2692",4,"0.0"
"Central","Office Supplies","Art","Consumer","5.952","0.372",1,"0.2"
"East","Office Supplies","Fasteners","Corporate","15.8","2.37",5,"0.2"
"East","Furniture","Furnishings","Corporate","14.368","3.9512",2,"0.2"
"East","Furniture","Furnishings","Corporate","70.448","12.3284",7,"0.2"
"West","Office Supplies","Storage","Consumer","129.3","6.465",2,"0.0"
"Central","Office Supplies","Binders","Home Office","3.882","-5.823",3,"0.8"
"Central","Office Supplies","Fasteners","Corporate","6.08","3.04",1,"0.0"
"East","Office Supplies","Appliances","Consumer","19.9","8.955",1,"0.0"
"East","Furniture","Furnishings","Consumer","70.71","4.9497",1,"0.0"
"South","Furniture","Furnishings","Consumer","18.84","7.9128",3,"0.0"
"Central","Office Supplies","Art","Consumer","8.64","2.5056",3,"0.0"
"South","Office Supplies","Binders","Home Office","1633.188","-1306.5504",4,"0.7"
"Central","Furniture","Furnishings","Home Office","19.76","8.2992",4,"0.0"
"West","Office Supplies","Binders","Consumer","6.608","2.2302",2,"0.2"
"West","Office Supplies","Binders","Consumer","7.28","2.73",2,"0.2"
"West","Furniture","Chairs","Consumer","144.784","10.8588",1,"0.2"
"West","Technology","Phones","Consumer","156.792","13.7193",1,"0.2"
"West","Technology","Phones","Consumer","431.976","26.9985",3,"0.2"
"West","Office Supplies","Envelopes","Consumer","35.89","16.1505",1,"0.0"
"West","Office Supplies","Binders","Consumer","47.208","15.3426",7,"0.2"
"West","Office Supplies","Paper","Consumer","248.08","116.5976",7,"0.0"
"West","Office Supplies","Paper","Consumer","189.7","89.159",5,"0.0"
"West","Office Supplies","Binders","Consumer","59.808","19.4376",3,"0.2"
"Central","Furniture","Chairs","Corporate","90.99","14.5584",1,"0.0"
"Central","Furniture","Chairs","Corporate","1526.56","427.4368",7,"0.0"
"Central","Furniture","Chairs","Corporate","368.97","40.5867",3,"0.0"
"West","Office Supplies","Storage","Consumer","305.01","76.2525",9,"0.0"
"West","Furniture","Furnishings","Consumer","18.7","7.106",1,"0.0"
"West","Furniture","Furnishings","Consumer","38.29","16.4647",7,"0.0"
"West","Furniture","Furnishings","Home Office","26.25","11.025",3,"0.0"
"West","Office Supplies","Binders","Home Office","64.96","22.736",14,"0.2"
"West","Office Supplies","Envelopes","Home Office","43.7","20.539",5,"0.0"
"West","Technology","Accessories","Home Office","41.6","13.0",4,"0.2"
"West","Office Supplies","Paper","Home Office","23.12","8.381",5,"0.2"
"West","Furniture","Chairs","Home Office","113.888","9.9652",2,"0.2"
"West","Furniture","Furnishings","Home Office","113.568","-5.6784",2,"0.2"
"West","Technology","Phones","Home Office","7.92","0.693",2,"0.2"
"West","Technology","Phones","Home Office","671.984","50.3988",2,"0.2"
"East","Technology","Phones","Corporate","39.99","11.5971",1,"0.0"
"East","Furniture","Chairs","Home Office","191.646","31.941",3,"0.1"
"East","Office Supplies","Binders","Consumer","2.313","-1.9275",1,"0.7"
"West","Office Supplies","Binders","Consumer","19.936","7.2268",4,"0.2"
"West","Office Supplies","Fasteners","Consumer","45.92","21.5824",4,"0.0"
"West","Office Supplies","Paper","Home Office","20.34","9.3564",3,"0.0"
"West","Office Supplies","Labels","Home Office","39.28","19.2472",8,"0.0"
"West","Furniture","Chairs","Corporate","81.568","9.1764",2,"0.2"
"West","Furniture","Chairs","Corporate","97.184","6.074",2,"0.2"
"West","Office Supplies","Binders","Corporate","24.32","8.208",5,"0.2"
"West","Furniture","Furnishings","Corporate","18.96","7.584",2,"0.0"
"Central","Furniture","Furnishings","Consumer","32.952","-19.7712",6,"0.6"
"Central","Office Supplies","Storage","Consumer","30.016","3.0016",4,"0.2"
"South","Office Supplies","Appliances","Consumer","499.584","43.7136",3,"0.2"
"South","Office Supplies","Paper","Consumer","31.104","10.8864",6,"0.2"
"South","Office Supplies","Binders","Consumer","13.272","-10.6176",8,"0.7"
"South","Furniture","Furnishings","Consumer","28.272","6.3612",2,"0.2"
"South","Office Supplies","Storage","Consumer","259.136","-51.8272",4,"0.2"
"Central","Office Supplies","Binders","Consumer","10.8","5.184",5,"0.0"
"Central","Furniture","Tables","Consumer","244.006","-31.3722",2,"0.3"
"Central","Office Supplies","Paper","Consumer","15.936","5.3784",4,"0.2"
"East","Furniture","Chairs","Corporate","188.552","-2.6936",7,"0.3"
"East","Office Supplies","Storage","Consumer","22.58","5.8708",2,"0.0"
"South","Furniture","Chairs","Consumer","545.94","87.3504",6,"0.0"
"East","Office Supplies","Paper","Consumer","20.736","7.2576",4,"0.2"
"East","Furniture","Furnishings","Consumer","43.296","4.3296",2,"0.2"
"West","Furniture","Chairs","Consumer","123.136","13.8528",4,"0.2"
"West","Office Supplies","Binders","Consumer","11.264","3.8016",4,"0.2"
"West","Office Supplies","Storage","Consumer","53.424","4.6746",3,"0.2"
"West","Furniture","Tables","Consumer","275.49","-170.8038",1,"0.5"
"South","Furniture","Furnishings","Home Office","24.96","6.24",4,"0.0"
"South","Office Supplies","Paper","Home Office","19.36","9.2928",2,"0.0"
"South","Office Supplies","Storage","Home Office","1267.65","152.118",9,"0.0"
"West","Technology","Accessories","Corporate","12.99","0.7794",1,"0.0"
"West","Office Supplies","Binders","Corporate","18.56","6.496",4,"0.2"
"West","Office Supplies","Storage","Corporate","449.15","8.983",5,"0.0"
"West","Office Supplies","Binders","Corporate","31.248","10.9368",7,"0.2"
"East","Office Supplies","Appliances","Corporate","61.44","16.5888",3,"0.0"
"Central","Office Supplies","Binders","Consumer","895.92","421.0824",4,"0.0"
"West","Office Supplies","Binders","Consumer","55.36","18.684",4,"0.2"
"West","Office Supplies","Storage","Consumer","55.92","6.291",5,"0.2"
"East","Office Supplies","Envelopes","Consumer","24.896","8.4024",4,"0.2"
"East","Furniture","Furnishings","Consumer","3.984","0.6474",1,"0.2"
"East","Technology","Accessories","Consumer","95.968","28.7904",4,"0.2"
"East","Technology","Machines","Consumer","206.991","-172.4925",3,"0.7"
"East","Office Supplies","Appliances","Consumer","44.416","3.8864",2,"0.2"
"East","Office Supplies","Binders","Consumer","9.006","-7.2048",2,"0.7"
"Central","Office Supplies","Binders","Home Office","19.0","8.93",5,"0.0"
"East","Office Supplies","Binders","Home Office","33.376","10.43",4,"0.2"
"East","Office Supplies","Appliances","Home Office","207.48","62.244",1,"0.0"
"Central","Office Supplies","Binders","Home Office","91.68","45.84",3,"0.0"
"East","Office Supplies","Appliances","Consumer","904.9","253.372",5,"0.0"
"West","Office Supplies","Binders","Consumer","34.272","11.1384",3,"0.2"
"South","Furniture","Furnishings","Consumer","191.82","74.8098",3,"0.0"
"East","Office Supplies","Appliances","Corporate","243.88","27.4365",5,"0.2"
"West","Office Supplies","Binders","Home Office","12.03","-9.223",5,"0.7"
"West","Technology","Machines","Home Office","2549.985","-3399.98",5,"0.7"
"West","Office Supplies","Binders","Home Office","21.594","-15.8356",2,"0.7"
"West","Office Supplies","Binders","Home Office","8.964","-6.5736",6,"0.7"
"West","Office Supplies","Paper","Home Office","20.736","7.2576",4,"0.2"
"East","Furniture","Tables","Home Office","344.22","-103.266",2,"0.4"
"Central","Office Supplies","Storage","Home Office","727.296","-172.7328",8,"0.2"
"Central","Furniture","Furnishings","Home Office","22.608","-10.1736",3,"0.6"
"Central","Technology","Accessories","Home Office","666.4","-33.32",7,"0.2"
"West","Office Supplies","Fasteners","Consumer","5.04","0.2016",3,"0.0"
"West","Office Supplies","Paper","Consumer","92.94","41.823",3,"0.0"
"West","Furniture","Furnishings","Consumer","66.69","22.0077",3,"0.0"
"West","Office Supplies","Binders","Consumer","91.68","28.65",5,"0.2"
"Central","Furniture","Bookcases","Consumer","327.7328","-14.4588",2,"0.32"
"East","Office Supplies","Binders","Consumer","52.272","17.6418",11,"0.2"
"East","Office Supplies","Paper","Consumer","17.94","8.073",3,"0.0"
"East","Furniture","Furnishings","Home Office","254.352","0.0",3,"0.2"
"West","Office Supplies","Binders","Corporate","8.288","2.6936",2,"0.2"
"South","Furniture","Chairs","Consumer","504.9","80.784",5,"0.0"
"West","Technology","Phones","Corporate","403.168","25.198",4,"0.2"
"Central","Furniture","Bookcases","Corporate","194.32","31.0912",4,"0.0"
"Central","Office Supplies","Art","Corporate","25.99","7.5371",1,"0.0"
"West","Furniture","Chairs","Consumer","195.136","-12.196",4,"0.2"
"East","Office Supplies","Paper","Home Office","20.736","7.2576",4,"0.2"
"South","Technology","Accessories","Consumer","53.7","10.203",6,"0.0"
"South","Office Supplies","Binders","Consumer","36.26","16.6796",7,"0.0"
"South","Office Supplies","Art","Consumer","56.3","15.764",2,"0.0"
"South","Office Supplies","Paper","Consumer","32.4","15.552",5,"0.0"
"South","Furniture","Furnishings","Consumer","29.16","10.7892",2,"0.0"
"West","Furniture","Tables","Corporate","171.288","-6.4233",3,"0.2"
"South","Furniture","Furnishings","Consumer","16.72","3.344",5,"0.2"
"West","Office Supplies","Paper","Home Office","12.96","6.2208",2,"0.0"
"West","Office Supplies","Envelopes","Home Office","22.18","10.8682",2,"0.0"
"West","Furniture","Chairs","Home Office","2054.272","256.784",8,"0.2"
"East","Technology","Phones","Consumer","1022.97","-255.7425",5,"0.4"
"Central","Office Supplies","Art","Home Office","13.9","3.614",5,"0.0"
"Central","Office Supplies","Paper","Home Office","26.38","12.1348",1,"0.0"
"West","Office Supplies","Binders","Consumer","43.176","13.4925",7,"0.2"
"South","Furniture","Tables","Home Office","411.8","70.006",2,"0.0"
"South","Technology","Accessories","Home Office","360.0","129.6",4,"0.0"
"West","Furniture","Furnishings","Home Office","41.96","2.9372",2,"0.0"
"West","Office Supplies","Appliances","Home Office","227.84","66.0736",4,"0.0"
"West","Office Supplies","Paper","Home Office","37.94","18.2112",2,"0.0"
"Central","Technology","Phones","Home Office","517.9","134.654",2,"0.0"
"Central","Office Supplies","Binders","Home Office","5.28","2.4288",2,"0.0"
"Central","Technology","Copiers","Corporate","2799.96","874.9875",5,"0.2"
"West","Office Supplies","Envelopes","Corporate","8.96","4.3008",2,"0.0"
"West","Office Supplies","Labels","Corporate","31.5","15.12",10,"0.0"
"West","Furniture","Furnishings","Corporate","30.56","10.3904",2,"0.0"
"West","Furniture","Tables","Corporate","24.368","-3.3506",2,"0.2"
"East","Technology","Accessories","Corporate","119.976","22.4955",3,"0.2"
"Central","Office Supplies","Paper","Consumer","26.88","9.744",8,"0.2"
"East","Technology","Phones","Corporate","83.97","23.5116",3,"0.0"
"East","Technology","Accessories","Corporate","104.97","7.3479",3,"0.0"
"West","Office Supplies","Storage","Home Office","90.8","25.424",8,"0.0"
"West","Technology","Phones","Home Office","140.736","49.2576",8,"0.2"
"West","Technology","Accessories","Home Office","214.95","88.1295",5,"0.0"
"West","Office Supplies","Paper","Home Office","45.36","21.7728",7,"0.0"
"West","Office Supplies","Paper","Home Office","288.24","138.3552",6,"0.0"
"East","Office Supplies","Appliances","Home Office","663.936","82.992",4,"0.2"
"East","Office Supplies","Storage","Corporate","2934.33","792.2691",7,"0.0"
"East","Furniture","Furnishings","Corporate","124.41","14.9292",3,"0.0"
"East","Office Supplies","Art","Corporate","57.75","26.565",5,"0.0"
"West","Office Supplies","Storage","Consumer","114.46","28.615",2,"0.0"
"West","Furniture","Bookcases","Consumer","120.666","18.4548",2,"0.15"
"Central","Office Supplies","Storage","Home Office","342.864","38.5722",3,"0.2"
"Central","Furniture","Furnishings","Home Office","16.74","-14.229",5,"0.6"
"Central","Furniture","Chairs","Home Office","981.372","-140.196",2,"0.3"
"West","Office Supplies","Art","Home Office","31.84","10.5072",8,"0.0"
"West","Office Supplies","Paper","Home Office","12.96","6.2208",2,"0.0"
"West","Technology","Phones","Home Office","43.176","15.1116",3,"0.2"
"South","Office Supplies","Binders","Home Office","58.34","28.0032",2,"0.0"
"South","Technology","Phones","Home Office","539.97","134.9925",3,"0.0"
"East","Office Supplies","Binders","Consumer","3.928","1.3257",1,"0.2"
"Central","Office Supplies","Binders","Consumer","252.784","-417.0936",4,"0.8"
"Central","Technology","Accessories","Consumer","127.984","15.998",2,"0.2"
"Central","Furniture","Furnishings","Consumer","3.984","-2.6892",2,"0.6"
"Central","Office Supplies","Appliances","Consumer","12.992","-32.48",2,"0.8"
"South","Furniture","Furnishings","Home Office","61.0","25.62",5,"0.0"
"South","Technology","Phones","Home Office","671.93","188.1404",7,"0.0"
"East","Office Supplies","Binders","Consumer","447.86","219.4514",7,"0.0"
"East","Technology","Phones","Consumer","479.95","129.5865",5,"0.0"
"East","Office Supplies","Paper","Consumer","166.44","79.8912",3,"0.0"
"Central","Office Supplies","Supplies","Consumer","31.68","2.772",4,"0.2"
"Central","Office Supplies","Paper","Consumer","10.368","3.6288",2,"0.2"
"Central","Office Supplies","Fasteners","Consumer","12.032","2.256",8,"0.2"
"Central","Office Supplies","Appliances","Consumer","5.768","-13.5548",2,"0.8"
"Central","Office Supplies","Labels","Corporate","33.12","11.592",4,"0.2"
"Central","Furniture","Bookcases","Corporate","220.2656","-42.1096",4,"0.32"
"East","Office Supplies","Binders","Consumer","10.776","3.5022",3,"0.2"
"East","Furniture","Bookcases","Consumer","242.352","9.0882",3,"0.2"
"East","Office Supplies","Supplies","Corporate","695.16","34.758",6,"0.0"
"East","Furniture","Bookcases","Corporate","220.98","50.8254",1,"0.0"
"East","Office Supplies","Binders","Home Office","12.957","-9.5018",7,"0.7"
"East","Office Supplies","Paper","Consumer","25.68","11.556",6,"0.0"
"Central","Office Supplies","Labels","Corporate","15.712","5.6956",4,"0.2"
"Central","Office Supplies","Storage","Home Office","298.464","26.1156",6,"0.2"
"Central","Office Supplies","Paper","Consumer","21.93","10.0878",3,"0.0"
"Central","Office Supplies","Storage","Consumer","242.94","4.8588",3,"0.0"
"Central","Office Supplies","Paper","Consumer","7.64","3.7436",1,"0.0"
"Central","Office Supplies","Paper","Consumer","51.84","25.4016",8,"0.0"
"Central","Office Supplies","Storage","Consumer","265.17","47.7306",1,"0.0"
"West","Technology","Machines","Consumer","837.6","62.82",3,"0.2"
"West","Office Supplies","Envelopes","Consumer","135.9","63.873",5,"0.0"
"West","Office Supplies","Paper","Consumer","34.68","16.9932",6,"0.0"
"West","Furniture","Chairs","Consumer","532.704","-39.9528",6,"0.2"
"West","Office Supplies","Appliances","Consumer","43.1","11.206",5,"0.0"
"West","Office Supplies","Supplies","Consumer","15.88","0.1588",4,"0.0"
"South","Furniture","Chairs","Corporate","1123.92","-182.637",5,"0.2"
"South","Technology","Phones","Corporate","249.584","31.198",2,"0.2"
"South","Furniture","Furnishings","Corporate","48.672","7.3008",3,"0.2"
"South","Office Supplies","Art","Corporate","60.768","7.596",2,"0.2"
"South","Office Supplies","Binders","Corporate","78.6","-62.88",5,"0.7"
"South","Office Supplies","Binders","Corporate","3.768","-3.14",2,"0.7"
"South","Office Supplies","Storage","Corporate","1036.624","51.8312",2,"0.2"
"South","Office Supplies","Storage","Corporate","563.808","21.1428",4,"0.2"
"East","Technology","Phones","Consumer","258.528","-47.3968",2,"0.4"
"East","Office Supplies","Paper","Consumer","49.12","23.0864",4,"0.0"
"West","Furniture","Furnishings","Home Office","44.46","14.6718",2,"0.0"
"West","Furniture","Chairs","Home Office","241.568","18.1176",2,"0.2"
"West","Technology","Accessories","Home Office","395.0","39.5",5,"0.0"
"West","Technology","Phones","Home Office","627.168","70.5564",4,"0.2"
"East","Furniture","Furnishings","Corporate","13.28","6.3744",2,"0.0"
"East","Office Supplies","Binders","Corporate","12.672","4.4352",3,"0.2"
"Central","Office Supplies","Binders","Home Office","30.56","-45.84",5,"0.8"
"Central","Office Supplies","Storage","Home Office","77.952","-15.5904",3,"0.2"
"Central","Technology","Phones","Home Office","67.992","8.499",1,"0.2"
"Central","Office Supplies","Envelopes","Home Office","12.224","4.4312",2,"0.2"
"Central","Technology","Accessories","Home Office","44.784","-0.5598",2,"0.2"
"Central","Furniture","Furnishings","Home Office","22.848","-17.7072",3,"0.6"
"East","Office Supplies","Appliances","Consumer","206.43","90.8292",3,"0.0"
"Central","Office Supplies","Binders","Corporate","210.392","-336.6272",2,"0.8"
"East","Technology","Accessories","Consumer","119.96","35.988",5,"0.2"
"East","Office Supplies","Art","Consumer","10.608","0.9282",6,"0.2"
"Central","Furniture","Chairs","Corporate","347.802","-24.843",7,"0.3"
"West","Furniture","Chairs","Corporate","963.136","108.3528",4,"0.2"
"West","Technology","Phones","Corporate","88.776","7.7679",3,"0.2"
"West","Office Supplies","Art","Corporate","32.4","10.368",5,"0.0"
"East","Office Supplies","Paper","Home Office","32.4","15.552",5,"0.0"
"West","Office Supplies","Labels","Consumer","31.05","14.904",3,"0.0"
"East","Technology","Accessories","Consumer","2025.36","607.608",6,"0.2"
"East","Technology","Machines","Consumer","1799.994","-2639.9912",2,"0.7"
"East","Technology","Phones","Consumer","101.988","-16.998",2,"0.4"
"East","Furniture","Furnishings","Consumer","262.864","69.0018",7,"0.2"
"Central","Office Supplies","Binders","Corporate","735.98","331.191",2,"0.0"
"West","Office Supplies","Paper","Home Office","93.024","33.7212",3,"0.2"
"East","Furniture","Tables","Corporate","284.364","-75.8304",2,"0.4"
"East","Technology","Accessories","Corporate","26.0","11.7",2,"0.0"
"South","Office Supplies","Storage","Consumer","67.64","5.9185",5,"0.2"
"South","Technology","Accessories","Consumer","119.976","-17.9964",3,"0.2"
"Central","Office Supplies","Binders","Consumer","5.18","-8.029",5,"0.8"
"West","Office Supplies","Envelopes","Consumer","15.56","7.3132",2,"0.0"
"West","Office Supplies","Envelopes","Consumer","78.35","36.8245",5,"0.0"
"West","Office Supplies","Art","Consumer","59.52","15.4752",3,"0.0"
"West","Office Supplies","Paper","Consumer","38.52","17.334",9,"0.0"
"West","Technology","Phones","Consumer","239.984","23.9984",2,"0.2"
"West","Office Supplies","Paper","Consumer","19.35","9.4815",3,"0.0"
"Central","Furniture","Furnishings","Consumer","67.0","32.16",5,"0.0"
"South","Furniture","Chairs","Corporate","390.272","-24.392",8,"0.2"
"South","Office Supplies","Paper","Corporate","62.192","19.435",13,"0.2"
"South","Office Supplies","Binders","Consumer","23.88","11.2236",6,"0.0"
"Central","Office Supplies","Binders","Consumer","3.168","-4.752",2,"0.8"
"Central","Furniture","Chairs","Consumer","528.43","0.0",5,"0.3"
"Central","Office Supplies","Art","Consumer","13.392","1.5066",3,"0.2"
"Central","Office Supplies","Art","Consumer","181.86","50.9208",7,"0.0"
"West","Furniture","Bookcases","Consumer","180.588","-240.784",2,"0.7"
"West","Technology","Accessories","Consumer","47.984","0.5998",2,"0.2"
"East","Office Supplies","Paper","Consumer","18.76","9.0048",2,"0.0"
"East","Furniture","Furnishings","Corporate","20.94","6.0726",3,"0.0"
"East","Furniture","Furnishings","Corporate","58.68","18.1908",2,"0.0"
"East","Office Supplies","Appliances","Corporate","254.9","68.823",5,"0.0"
"East","Office Supplies","Binders","Corporate","9.64","4.4344",2,"0.0"
"East","Technology","Accessories","Corporate","826.62","355.4466",3,"0.0"
"East","Office Supplies","Storage","Corporate","1633.14","473.6106",9,"0.0"
"East","Office Supplies","Storage","Corporate","544.38","157.8702",3,"0.0"
"Central","Office Supplies","Binders","Corporate","26.046","-44.2782",3,"0.8"
"Central","Office Supplies","Envelopes","Corporate","74.352","26.9526",3,"0.2"
"East","Technology","Phones","Corporate","69.93","32.1678",7,"0.0"
"West","Office Supplies","Labels","Corporate","3.75","1.8",1,"0.0"
"West","Office Supplies","Binders","Corporate","20.928","7.5864",4,"0.2"
"Central","Office Supplies","Storage","Home Office","12.672","-3.168",3,"0.2"
"East","Technology","Phones","Corporate","65.99","17.1574",1,"0.0"
"Central","Office Supplies","Binders","Corporate","6.37","-9.555",7,"0.8"
"Central","Office Supplies","Binders","Consumer","3.648","-6.0192",3,"0.8"
"Central","Office Supplies","Paper","Consumer","31.104","10.8864",6,"0.2"
"South","Office Supplies","Fasteners","Home Office","23.34","0.2334",3,"0.0"
"East","Technology","Phones","Corporate","29.97","14.0859",3,"0.0"
"West","Office Supplies","Binders","Consumer","3.366","-2.244",3,"0.7"
"South","Technology","Phones","Consumer","95.968","9.5968",4,"0.2"
"East","Office Supplies","Art","Corporate","18.704","2.338",7,"0.2"
"East","Furniture","Furnishings","Consumer","149.232","3.7308",3,"0.2"
"East","Office Supplies","Paper","Consumer","15.936","5.7768",4,"0.2"
"West","Technology","Phones","Consumer","601.536","60.1536",8,"0.2"
"West","Technology","Accessories","Consumer","10.99","4.2861",1,"0.0"
"West","Furniture","Furnishings","Consumer","39.88","11.1664",2,"0.0"
"West","Office Supplies","Paper","Consumer","62.24","28.008",8,"0.0"
"West","Furniture","Furnishings","Consumer","53.2","14.896",5,"0.0"
"West","Office Supplies","Labels","Consumer","39.84","18.3264",8,"0.0"
"West","Technology","Accessories","Corporate","349.95","118.983",5,"0.0"
"West","Technology","Phones","Corporate","377.928","141.723",9,"0.2"
"Central","Office Supplies","Envelopes","Corporate","13.392","5.022",3,"0.2"
"Central","Office Supplies","Binders","Corporate","11.228","-18.5262",7,"0.8"
"Central","Office Supplies","Appliances","Consumer","207.24","58.0272",11,"0.0"
"East","Office Supplies","Art","Corporate","1.504","0.1692",1,"0.2"
"East","Office Supplies","Appliances","Corporate","34.848","6.534",2,"0.2"
"West","Office Supplies","Labels","Consumer","75.18","35.3346",6,"0.0"
"West","Technology","Accessories","Consumer","149.97","52.4895",3,"0.0"
"East","Office Supplies","Binders","Corporate","931.176","314.2719",3,"0.2"
"East","Technology","Phones","Corporate","430.88","124.9552",2,"0.0"
"East","Office Supplies","Paper","Corporate","94.85","45.528",5,"0.0"
"East","Office Supplies","Envelopes","Corporate","51.12","23.004",4,"0.0"
"East","Technology","Accessories","Corporate","90.0","32.4",1,"0.0"
"West","Office Supplies","Paper","Corporate","9.408","3.4104",2,"0.2"
"West","Office Supplies","Fasteners","Corporate","4.672","1.46",2,"0.2"
"West","Technology","Phones","Corporate","318.4","107.46",2,"0.2"
"West","Office Supplies","Envelopes","Corporate","12.768","4.6284",6,"0.2"
"West","Office Supplies","Supplies","Corporate","15.36","-3.264",2,"0.2"
"West","Technology","Phones","Corporate","230.376","20.1579",3,"0.2"
"West","Technology","Accessories","Corporate","7.16","-0.0895",1,"0.2"
"East","Office Supplies","Storage","Consumer","375.34","18.767",1,"0.0"
"East","Furniture","Furnishings","Consumer","114.9","39.066",5,"0.0"
"Central","Office Supplies","Binders","Consumer","26.046","-44.2782",3,"0.8"
"Central","Office Supplies","Binders","Consumer","2.896","-4.7784",1,"0.8"
"Central","Office Supplies","Storage","Consumer","32.544","-7.7292",2,"0.2"
"West","Office Supplies","Binders","Consumer","3.984","1.3944",1,"0.2"
"East","Furniture","Tables","Consumer","181.797","-15.5826",1,"0.3"
"East","Office Supplies","Storage","Consumer","44.94","12.5832",3,"0.0"
"East","Office Supplies","Binders","Consumer","45.576","15.9516",3,"0.2"
"Central","Furniture","Chairs","Corporate","318.43","-77.333",5,"0.3"
